Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,-9.4319740700862,28.6000011706788,8.83227780288267,1.41411799339429,11.2297148272859,5.35740324748592,13.8263195471281,3.92498381999467,21.3905283926492,14.3624414710737,0.426354776777345,12.7522870926697,5.60074465863221,2.72454336219565,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.26694373649188,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,174.930991430166,138.706821676113,178.954088379235,198.871115728727,221.763653873013,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,8.07,8.011,7.888,7.822,7.817,7.867,7.863,7.89,7.903,7.935,7.953,7.93,7.88,7.899,7.885,7.914,7.817,7.878,7.754,7.753,7.784,7.856,7.93,7.915,9.052,10.133,11.184,11.196,11.185,11.71,11.994,14.1,13.991,13.295
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.78459655001656,8.68057078513405,26.4186641547444,-6.81116108898994,2.17853752389419,11.8041858089129,6.44121280934116,7.38577178397856,4.67399603536345,-0.661709164713771,4.38389195513915,4.97595150553836,0.626149149168802,2.30237251516839,5.60188791482222,5.1332034082496,13.7121023720065,-4.64470870797776,-6.60118564073727
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.57564016993408,-28.0021416538074,-7.18711090964234,9.55941167111243,8.30286659699082,13.3223333268813,7.33632894771891,-11.7115732812278,8.3100252038309,12.2507281968475,7.46285871776054,8.8637306604876,4.62839587394552,5.33326426009945,5.26626173860785,5.13082193056189,6.0189812403864,6.50009261158209,6.90706230713707,2.69075152362146,2.97315442681247,2.46351683915714,0.984129880204108,1.7072283175406,2.24022695382642,2.2277040745779,3.90893551362245,3.28317593330073,3.67141928098908,2.06257790176122,-3.31375636888916,8.96957619074095,4.82669611912765,3.93661689192599,3.96171911223713
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,617.230435515505,336.586994504629,200.852219772323,367.279225077581,586.416135130865,911.320465445326,1020.97618050188,728.545523729675,831.175344077295,1056.34481153033,1160.42047054038,1326.41652388077,1479.83884572006,1908.69900687608,2446.90949947798,2741.72136549578,3057.77257038113,3743.05529896187,4498.50486763601,4213.65007574693,4149.14469936847,4465.70914328865,4222.3470988913,4420.23461988353,4602.23051443229,3981.72662261867,4168.37544462548,4614.0479692596,5365.48880180298,5460.4305086932,5370.77749956875,6413.28280828537,6846.42669381643,8575.17134637222,10011.6279856667
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,10.304,30.007,25.251,20.835,14.607,13.928,16.872,20.042,20.835,19.023,18.57,17.891,16.985,16.306,15.966,15.626,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.69,11.474,10.137,10.108,10.25
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.32087090389265,2.2669220945083,3.62604695579816,3.42912324722166,2.03159268395297,1.93762080205226,1.62586504402611,1.89617402592365,1.27543168367414,1.98666133171195,2.02805963071135,1.41109078954247,1.62088661717011,2.04147163139547,6.72520271530052,4.75976421930108,2.21448953273292
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.800000580174981,-1.2000005864423,1.80000230253509,-2.10000075697259,-0.899996552970833,3.79999479063817,4.09999847167964,1.09999993684249,5.10000361107312,3.20000155319546,3.80000000158476,2.99999999863043,5.40000000000001,6.50000000062043,4.49999999976698,5.39999999969525,2.89999999905852,3.10000000128674,2.49999999929371,1.19999999969519,4.80000000093564,2.99999999941909,2.40000000034432,2.60000000061164,4.09999999866501,3.20000000089023,3.90000000017621,1.49999999895587,1.40000000088281,0.899999999219148,-4.99999999908597,3.79999999900707,3.60000000094915,4.10000000005964,3.29999999939609
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2445.18332740258,1759.11201648229,1802.69300801289,1831.04800976449,1525.54061760288,1466.94806760415,1616.83198721285,1628.76100561506,1603.36623200836,1596.11822239025,1772.92869122761,1896.30020878013,1937.46411413019,2283.77299346126,2816.99384960555,3233.13339634212,3660.66104745322,4167.45169937531,5180.91881514686,4235.42990456612,4912.78585503672,5916.31364364343,6033.64884689543,5979.60138960585,6094.69392314956,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4961.55257664733,5364.02795022731,5631.17999109851
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,20.6,24.38,26.23,27.74,31.84,28.308,25.43,26.853,28.548,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.207,11.206,10.202,12,12.137,12.259,14.057,13.63,12.346,11.701,11.427
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.31149918514424,3.678995747417,4.85859062814938,5.73706036145628,3.91106195534029,4.5242115050527,8.8914509106232,3.25423910998842,2.91692692067458,4.78444700693894,6.39769480268751,5.5911159096167,4.26999020467083,1.95176821052892,2.41513094083414,7.22606307415475,9.26551551551555,9.32217375928319,4.04611455313438
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,0.965517241379317,0.409836065573771,-0.408163265306129,-4.09836065573771,1.85185185185186,-2.65734265734265,-4.16666666666666,0.299850074962521,0,-4.33482810164425,-2.5,1.76282051282051,3.14960629921259,-1.67938931297709,-6.98757763975155,2.6711185308848,-0.487804878048777,4.41176470588236,-0.782472613458523,1.73501577287065,..,..
